stop_id,stop_cause,service_area,subject_race,subject_sex,subject_age,date_time,sd_resident,arrested,searched,obtained_consent,contraband_found,property_seized,action,search_type,search_basis
69583,Equipment Violation,110,H,M,50,10/17/2017 5:14,Y,N,N,,,,Verbal Warning,,
69584,Moving Violation,430,H,M,33,10/17/2017 5:15,Y,N,N,,,,Citation,,
69598,Moving Violation,430,H,M,33,10/17/2017 5:17,Y,N,N,,,,Citation,,
70341,Equipment Violation,110,A,M,25,10/17/2017 7:21,Y,N,N,,,,Field Interview,,
70428,Equipment Violation,430,H,M,30,10/17/2017 7:33,Y,N,N,,,,Verbal Warning,,
70718,Moving Violation,620,A,F,55,10/17/2017 7:59,Y,N,N,,,,Citation,,
71029,Moving Violation,930,A,M,34,10/17/2017 8:25,Y,N,N,,,,Verbal Warning,,
71076,Equipment Violation,510,W,M,32,10/17/2017 8:27,Y,N,N,,,,Verbal Warning,,
71134,Moving Violation,930,A,M,34,10/17/2017 8:31,Y,N,N,,,,Verbal Warning,,
71253,Moving Violation,720,H,F,57,10/17/2017 8:39,N,N,N,,,,Citation,,
71258,Code Violation,Unknown,A,F,24,10/17/2017 8:40,Y,N,N,,,,Citation,,
71271,Moving Violation,Unknown,O,F,24,10/17/2017 8:41,N,N,N,,,,Citation,,
71494,Moving Violation,620,A,M,33,10/17/2017 8:59,N,N,N,,,,Verbal Warning,,
71508,Moving Violation,620,A,M,33,10/17/2017 9:01,N,N,N,,,,Verbal Warning,,
71531,Code Violation,610,O,M,52,10/17/2017 9:04,N,N,N,,,,Citation,,
71594,Moving Violation,110,W,M,60,10/17/2017 9:07,Y,N,N,,,,Citation,,
71607,Equipment Violation,610,W,F,45,10/17/2017 9:10,Y,N,N,N,N,N,Field Interview,,
71617,Equipment Violation,610,W,F,45,10/17/2017 9:11,N,N,N,,,,Field Interview,,
71856,Moving Violation,430,H,M,32,10/17/2017 9:30,Y,N,N,,,,Verbal Warning,,
71920,Moving Violation,110,W,F,27,10/17/2017 9:36,Y,N,N,,,,Citation,,
71946,Equipment Violation,430,W,M,22,10/17/2017 9:39,N,N,N,,,,Verbal Warning,,
72035,Moving Violation,620,O,F,37,10/17/2017 9:44,N,N,N,,,,Verbal Warning,,
72068,Moving Violation,620,O,F,37,10/17/2017 9:48,N,N,N,,,,Verbal Warning,,
72101,Code Violation,610,O,F,20,10/17/2017 9:53,N,N,N,,,,Citation,,
72132,Equipment Violation,110,H,F,56,10/17/2017 9:56,Y,N,N,,,,Field Interview,,
72428,Moving Violation,620,W,M,57,10/17/2017 10:20,Y,N,N,,,,Verbal Warning,,
72433,Moving Violation,620,W,M,57,10/17/2017 10:21,Y,N,N,,,,Verbal Warning,,
72616,Moving Violation,520,W,F,18,10/17/2017 10:33,Y,N,N,,,,Citation,,
